DataOficial;Districte;Sector;TotalHomes;TotalDones;TotalNacionals;TotalComunitaris;TotalEstrangers
2014/01/01;1;CENTRE;15259;16948;30391;410;1406
2014/01/01;1;"SANT OLEGUER";9738;10674;18476;361;1575
2014/01/01;2;"CAN PUIGGENER";3295;3082;4570;108;1699
2014/01/01;2;"CREU ALTA";8453;9468;16316;219;1386
2014/01/01;2;TOGORES;17;19;35;0;1
2014/01/01;3;"CA N´ORIAC";9383;9756;16574;279;2286
2014/01/01;3;NORD;6782;7009;12749;190;852
2014/01/01;3;"SANT JULIÀ";837;849;1622;26;38
2014/01/01;4;BERARDO;4418;4351;8448;80;241
2014/01/01;4;"CAN RULL";8317;8606;15018;356;1549
2014/01/01;4;CONCÒRDIA;6131;6634;11292;171;1302
2014/01/01;5;"CAN FEU";4814;4880;8464;225;1005
2014/01/01;5;GRÀCIA;4687;4981;8862;187;619
2014/01/01;5;OEST;27;22;44;0;5
2014/01/01;6;"CREU DE BARBERÀ";9786;10119;16570;397;2938
2014/01/01;6;"SANT PAU";9;5;12;0;2
2014/01/01;6;SUD;4686;4760;7576;191;1679
2014/01/01;7;EST;19;10;29;0;0
2014/01/01;7;"LA SERRA";4382;4319;7421;153;1127
2013/01/01;1;CENTRE;15115;16864;30045;458;1476
2013/01/01;1;"SANT OLEGUER";9787;10653;18425;369;1646
2013/01/01;2;"CAN PUIGGENER";3420;3129;4583;117;1849
2013/01/01;2;"CREU ALTA";8455;9432;16285;192;1410
2013/01/01;2;TOGORES;15;18;32;0;1
2013/01/01;3;"CA N'ORIAC";9529;9945;16777;280;2417
2013/01/01;3;NORD;6893;7120;12842;201;970
2013/01/01;3;"SANT JULIÀ";692;678;1343;13;14
2013/01/01;4;BERARDO;4313;4205;8228;80;210
2013/01/01;4;"CAN RULL";8362;8635;14980;377;1640
2013/01/01;4;CONCÒRDIA;6192;6750;11334;155;1453
2013/01/01;5;"CAN FEU";4752;4870;8413;199;1010
2013/01/01;5;GRÀCIA;4682;4940;8818;166;638
2013/01/01;5;OEST;28;22;45;0;5
2013/01/01;6;"CREU DE BARBERÀ";9845;10197;16461;407;3174
2013/01/01;6;"SANT PAU";8;6;12;1;1
2013/01/01;6;SUD;4691;4774;7555;224;1686
2013/01/01;7;EST;17;11;28;0;0
2013/01/01;7;"LA SERRA";4386;4316;7342;153;1207
2014/07/01;1;CENTRE;15265;16938;30456;408;1339
2014/07/01;1;"SANT OLEGUER";9782;10696;18570;380;1528
2014/07/01;2;"CAN PUIGGENER";3254;3070;4606;106;1612
2014/07/01;2;"CREU ALTA";8489;9511;16425;226;1349
2014/07/01;2;TOGORES;15;17;32;0;0
2014/07/01;3;"CA N´ORIAC";9375;9749;16644;268;2212
2014/07/01;3;NORD;6763;6982;12714;195;836
2014/07/01;3;"SANT JULIÀ";939;966;1840;25;40
2014/07/01;4;BERARDO;4458;4399;8554;82;221
2014/07/01;4;"CAN RULL";8299;8545;15028;366;1450
2014/07/01;4;CONCÒRDIA;6139;6619;11302;183;1273
2014/07/01;5;"CAN FEU";4833;4899;8539;212;981
2014/07/01;5;GRÀCIA;4772;5064;8993;186;657
2014/07/01;5;OEST;23;23;43;0;3
2014/07/01;6;"CREU DE BARBERÀ";9719;10110;16620;403;2806
2014/07/01;6;"SANT PAU";7;4;11;0;0
2014/07/01;6;SUD;4632;4714;7588;164;1594
2014/07/01;7;EST;18;7;25;0;0
2014/07/01;7;"LA SERRA";4399;4329;7505;147;1076
2014/10/01;1;CENTRE;15292;17012;30549;423;1332
2014/10/01;1;"SANT OLEGUER";9776;10687;18597;378;1488
2014/10/01;2;"CAN PUIGGENER";3236;3071;4669;105;1533
2014/10/01;2;"CREU ALTA";8512;9491;16462;217;1324
2014/10/01;2;TOGORES;13;17;30;0;0
2014/10/01;3;"CA N´ORIAC";9370;9718;16679;276;2133
2014/10/01;3;NORD;6754;6979;12723;199;811
2014/10/01;3;"SANT JULIÀ";958;978;1879;23;34
2014/10/01;4;BERARDO;4509;4434;8645;84;214
2014/10/01;4;"CAN RULL";8314;8550;15052;358;1454
2014/10/01;4;CONCÒRDIA;6137;6645;11342;199;1241
2014/10/01;5;"CAN FEU";4812;4887;8551;213;935
2014/10/01;5;GRÀCIA;4781;5058;8992;181;666
2014/10/01;5;OEST;23;21;41;0;3
2014/10/01;6;"CREU DE BARBERÀ";9706;10115;16701;398;2722
2014/10/01;6;"SANT PAU";7;4;11;0;0
2014/10/01;6;SUD;4651;4727;7668;166;1544
