DataOficial;Districte;Sector;NomesNacionals;NomesEstrangers;Mixtes
2014/01/01;1;CENTRE;11665;338;652
2014/01/01;1;"SANT OLEGUER";7201;337;478
2014/01/01;2;"CAN PUIGGENER";1585;299;213
2014/01/01;2;"CREU ALTA";6582;271;418
2014/01/01;2;TOGORES;10;0;1
2014/01/01;3;"CA N´ORIAC";6227;386;466
2014/01/01;3;NORD;4759;154;258
2014/01/01;3;"SANT JULIÀ";638;12;21
2014/01/01;4;BERARDO;2958;41;122
2014/01/01;4;"CAN RULL";5779;315;354
2014/01/01;4;CONCÒRDIA;4298;206;321
2014/01/01;5;"CAN FEU";3418;204;212
2014/01/01;5;GRÀCIA;3441;156;221
2014/01/01;5;OEST;15;0;3
2014/01/01;6;"CREU DE BARBERÀ";6597;582;581
2014/01/01;6;"SANT PAU";9;1;0
2014/01/01;6;SUD;2879;274;344
2014/01/01;7;EST;11;0;0
2014/01/01;7;"LA SERRA";2681;194;191
2013/01/01;1;CENTRE;11601;375;641
2013/01/01;1;"SANT OLEGUER";7177;342;475
2013/01/01;2;"CAN PUIGGENER";1576;314;212
2013/01/01;2;"CREU ALTA";6579;272;389
2013/01/01;2;TOGORES;10;0;1
2013/01/01;3;"CA N'ORIAC";6239;402;474
2013/01/01;3;NORD;4742;163;279
2013/01/01;3;"SANT JULIÀ";492;8;11
2013/01/01;4;BERARDO;2923;43;118
2013/01/01;4;"CAN RULL";5748;343;363
2013/01/01;4;CONCÒRDIA;4299;216;338
2013/01/01;5;"CAN FEU";3396;195;199
2013/01/01;5;GRÀCIA;3431;168;211
2013/01/01;5;OEST;15;0;2
2013/01/01;6;"CREU DE BARBERÀ";6494;596;587
2013/01/01;6;"SANT PAU";9;1;0
2013/01/01;6;SUD;2877;294;337
2013/01/01;7;EST;12;0;0
2013/01/01;7;"LA SERRA";2647;223;180
2014/07/01;1;CENTRE;11707;312;646
2014/07/01;1;"SANT OLEGUER";7225;324;492
2014/07/01;2;"CAN PUIGGENER";1586;280;232
2014/07/01;2;"CREU ALTA";6593;243;439
2014/07/01;2;TOGORES;11;0;0
2014/07/01;3;"CA N´ORIAC";6232;361;493
2014/07/01;3;NORD;4766;146;262
2014/07/01;3;"SANT JULIÀ";730;11;27
2014/07/01;4;BERARDO;2989;32;120
2014/07/01;4;"CAN RULL";5778;301;358
2014/07/01;4;CONCÒRDIA;4285;193;346
2014/07/01;5;"CAN FEU";3439;187;227
2014/07/01;5;GRÀCIA;3496;157;232
2014/07/01;5;OEST;16;0;2
2014/07/01;6;"CREU DE BARBERÀ";6591;546;620
2014/07/01;6;"SANT PAU";9;0;0
2014/07/01;6;SUD;2882;260;344
2014/07/01;7;EST;11;0;0
2014/07/01;7;"LA SERRA";2722;184;201
2014/10/01;1;CENTRE;11745;308;643
2014/10/01;1;"SANT OLEGUER";7249;309;481
2014/10/01;2;"CAN PUIGGENER";1595;264;237
2014/10/01;2;"CREU ALTA";6620;237;432
2014/10/01;2;TOGORES;11;0;0
2014/10/01;3;"CA N´ORIAC";6224;351;500
2014/10/01;3;NORD;4780;146;252
2014/10/01;3;"SANT JULIÀ";748;11;25
2014/10/01;4;BERARDO;3006;34;118
2014/10/01;4;"CAN RULL";5772;291;363
2014/10/01;4;CONCÒRDIA;4304;190;345
2014/10/01;5;"CAN FEU";3445;183;220
2014/10/01;5;GRÀCIA;3513;156;239
2014/10/01;5;OEST;15;1;1
2014/10/01;6;"CREU DE BARBERÀ";6606;535;616
2014/10/01;6;"SANT PAU";9;0;0
2014/10/01;6;SUD;2884;251;359
2014/10/01;7;EST;11;0;0
2014/10/01;7;"LA SERRA";2726;174;203
2015/01/01;1;CENTRE;11813;321;641
2015/01/01;1;"SANT OLEGUER";7270;287;476
2015/01/01;2;"CAN PUIGGENER";1606;267;237
2015/01/01;2;"CREU ALTA";6635;233;427
2015/01/01;2;TOGORES;11;0;0
2015/01/01;3;"CA N´ORIAC";6222;359;503
2015/01/01;3;NORD;4774;147;254
2015/01/01;3;"SANT JULIÀ";753;11;25
2015/01/01;4;BERARDO;3021;35;121
2015/01/01;4;"CAN RULL";5780;286;374
