DataOficial;Districte;Sector;NombreHabitants;NombreLlars
2014/01/01;1;CENTRE;32207;12655
2014/01/01;1;"SANT OLEGUER";20412;8016
2014/01/01;2;"CAN PUIGGENER";6377;2097
2014/01/01;2;"CREU ALTA";17921;7271
2014/01/01;2;TOGORES;36;11
2014/01/01;3;"CA N´ORIAC";19139;7079
2014/01/01;3;NORD;13791;5171
2014/01/01;3;"SANT JULIÀ";1686;671
2014/01/01;4;BERARDO;8769;3121
2014/01/01;4;"CAN RULL";16923;6448
2014/01/01;4;CONCÒRDIA;12765;4825
2014/01/01;5;"CAN FEU";9694;3834
2014/01/01;5;GRÀCIA;9668;3818
2014/01/01;5;OEST;49;18
2014/01/01;6;"CREU DE BARBERÀ";19905;7760
2014/01/01;6;"SANT PAU";14;10
2014/01/01;6;SUD;9446;3497
2014/01/01;7;EST;29;11
2014/01/01;7;"LA SERRA";8701;3066
2013/01/01;1;CENTRE;31979;12617
2013/01/01;1;"SANT OLEGUER";20440;7994
2013/01/01;2;"CAN PUIGGENER";6549;2102
2013/01/01;2;"CREU ALTA";17887;7240
2013/01/01;2;TOGORES;33;11
2013/01/01;3;"CA N'ORIAC";19474;7115
2013/01/01;3;NORD;14013;5184
2013/01/01;3;"SANT JULIÀ";1370;511
2013/01/01;4;BERARDO;8518;3084
2013/01/01;4;"CAN RULL";16997;6454
2013/01/01;4;CONCÒRDIA;12942;4853
2013/01/01;5;"CAN FEU";9622;3790
2013/01/01;5;GRÀCIA;9622;3810
2013/01/01;5;OEST;50;17
2013/01/01;6;"CREU DE BARBERÀ";20042;7677
2013/01/01;6;"SANT PAU";14;10
2013/01/01;6;SUD;9465;3508
2013/01/01;7;EST;28;12
2013/01/01;7;"LA SERRA";8702;3050
2014/07/01;1;CENTRE;32203;12665
2014/07/01;1;"SANT OLEGUER";20478;8041
2014/07/01;2;"CAN PUIGGENER";6324;2098
2014/07/01;2;"CREU ALTA";18000;7275
2014/07/01;2;TOGORES;32;11
2014/07/01;3;"CA N´ORIAC";19124;7086
2014/07/01;3;NORD;13745;5174
2014/07/01;3;"SANT JULIÀ";1905;768
2014/07/01;4;BERARDO;8857;3141
2014/07/01;4;"CAN RULL";16844;6437
2014/07/01;4;CONCÒRDIA;12758;4824
2014/07/01;5;"CAN FEU";9732;3853
2014/07/01;5;GRÀCIA;9836;3885
2014/07/01;5;OEST;46;18
2014/07/01;6;"CREU DE BARBERÀ";19829;7757
2014/07/01;6;"SANT PAU";11;9
2014/07/01;6;SUD;9346;3486
2014/07/01;7;EST;25;11
2014/07/01;7;"LA SERRA";8728;3107
2014/10/01;1;CENTRE;32304;12696
2014/10/01;1;"SANT OLEGUER";20463;8039
2014/10/01;2;"CAN PUIGGENER";6307;2096
2014/10/01;2;"CREU ALTA";18003;7289
2014/10/01;2;TOGORES;30;11
2014/10/01;3;"CA N´ORIAC";19088;7075
2014/10/01;3;NORD;13733;5178
2014/10/01;3;"SANT JULIÀ";1936;784
2014/10/01;4;BERARDO;8943;3158
2014/10/01;4;"CAN RULL";16864;6426
2014/10/01;4;CONCÒRDIA;12782;4839
2014/10/01;5;"CAN FEU";9699;3848
2014/10/01;5;GRÀCIA;9839;3908
2014/10/01;5;OEST;44;17
2014/10/01;6;"CREU DE BARBERÀ";19821;7757
2014/10/01;6;"SANT PAU";11;9
2014/10/01;6;SUD;9378;3494
2014/10/01;7;EST;25;11
2014/10/01;7;"LA SERRA";8675;3103
2015/01/01;1;CENTRE;32389;12775
2015/01/01;1;"SANT OLEGUER";20423;8033
2015/01/01;2;"CAN PUIGGENER";6296;2110
2015/01/01;2;"CREU ALTA";17954;7295
2015/01/01;2;TOGORES;30;11
2015/01/01;3;"CA N´ORIAC";19051;7084
2015/01/01;3;NORD;13735;5175
2015/01/01;3;"SANT JULIÀ";1956;789
2015/01/01;4;BERARDO;8963;3177
2015/01/01;4;"CAN RULL";16852;6440
2015/01/01;4;CONCÒRDIA;12730;4843
2015/01/01;5;"CAN FEU";9643;3838
2015/01/01;5;GRÀCIA;9861;3900
2015/01/01;5;OEST;44;17
2015/01/01;6;"CREU DE BARBERÀ";19790;7765
2015/01/01;6;"SANT PAU";11;10
2015/01/01;6;SUD;9368;3512
2015/01/01;7;EST;26;11
2015/01/01;7;"LA SERRA";8680;3120
2015/04/01;1;CENTRE;32481;12775
2015/04/01;1;"SANT OLEGUER";20461;8042
2015/04/01;2;"CAN PUIGGENER";6299;2104
2015/04/01;2;"CREU ALTA";18004;7287
2015/04/01;2;TOGORES;30;11
2015/04/01;3;"CA N´ORIAC";19096;7084
2015/04/01;3;NORD;13723;5180
2015/04/01;3;"SANT JULIÀ";1980;795
2015/04/01;4;BERARDO;8991;3190
2015/04/01;4;"CAN RULL";16855;6449
2015/04/01;4;CONCÒRDIA;12754;4831
2015/04/01;5;"CAN FEU";9618;3830
2015/04/01;5;GRÀCIA;9840;3890
2015/04/01;5;OEST;43;17
2015/04/01;6;"CREU DE BARBERÀ";19844;7771
2015/04/01;6;"SANT PAU";11;10
2015/04/01;6;SUD;9349;3513
2015/04/01;7;EST;26;11
2015/04/01;7;"LA SERRA";8674;3119
2015/07/01;1;CENTRE;32587;12798
2015/07/01;1;"SANT OLEGUER";20388;8050
2015/07/01;2;"CAN PUIGGENER";6245;2096
2015/07/01;2;"CREU ALTA";17998;7308
2015/07/01;2;TOGORES;30;11
2015/07/01;3;"CA N´ORIAC";19081;7098
2015/07/01;3;NORD;13659;5185
2015/07/01;3;"SANT JULIÀ";2019;807
2015/07/01;4;BERARDO;9031;3206
2015/07/01;4;"CAN RULL";16853;6460
2015/07/01;4;CONCÒRDIA;12716;4838
2015/07/01;5;"CAN FEU";9655;3829
2015/07/01;5;GRÀCIA;9829;3895
2015/07/01;5;OEST;44;17
2015/07/01;6;"CREU DE BARBERÀ";19892;7799
2015/07/01;6;"SANT PAU";11;10
2015/07/01;6;SUD;9339;3526
2015/07/01;7;EST;25;11
2015/07/01;7;"LA SERRA";8661;3142
2015/10/01;1;CENTRE;32789;12852
2015/10/01;1;"SANT OLEGUER";20472;8071
2015/10/01;2;"CAN PUIGGENER";6260;2097
2015/10/01;2;"CREU ALTA";18055;7317
2015/10/01;2;TOGORES;30;11
2015/10/01;3;"CA N´ORIAC";19121;7101
2015/10/01;3;NORD;13669;5176
2015/10/01;3;"SANT JULIÀ";2039;809
2015/10/01;4;BERARDO;9075;3216
2015/10/01;4;"CAN RULL";16865;6461
2015/10/01;4;CONCÒRDIA;12724;4835
2015/10/01;5;"CAN FEU";9692;3829
2015/10/01;5;GRÀCIA;9829;3889
2015/10/01;5;OEST;44;17
2015/10/01;6;"CREU DE BARBERÀ";19921;7812
2015/10/01;6;"SANT PAU";12;11
2015/10/01;6;SUD;9365;3525
2015/10/01;7;EST;24;11
2015/10/01;7;"LA SERRA";8699;3141
2016/01/01;1;CENTRE;32827;12887
2016/01/01;1;"SANT OLEGUER";20462;8080
2016/01/01;2;"CAN PUIGGENER";6271;2093
2016/01/01;2;"CREU ALTA";17995;7322
2016/01/01;2;TOGORES;32;12
2016/01/01;3;"CA N´ORIAC";19023;7091
2016/01/01;3;NORD;13621;5179
2016/01/01;3;"SANT JULIÀ";2036;803
2016/01/01;4;BERARDO;9149;3237
2016/01/01;4;"CAN RULL";16813;6484
2016/01/01;4;CONCÒRDIA;12686;4838
2016/01/01;5;"CAN FEU";9619;3817
2016/01/01;5;GRÀCIA;9842;3902
2016/01/01;5;OEST;44;17
2016/01/01;6;"CREU DE BARBERÀ";19866;7828
2016/01/01;6;"SANT PAU";12;11
2016/01/01;6;SUD;9319;3517
2016/01/01;7;EST;24;11
2016/01/01;7;"LA SERRA";8643;3133
2016/04/01;1;CENTRE;32968;12933
2016/04/01;1;"SANT OLEGUER";20473;8087
2016/04/01;2;"CAN PUIGGENER";6238;2078
2016/04/01;2;"CREU ALTA";17994;7331
2016/04/01;2;TOGORES;37;13
2016/04/01;3;"CA N´ORIAC";18960;7090
2016/04/01;3;NORD;13656;5185
2016/04/01;3;"SANT JULIÀ";2063;809
2016/04/01;4;BERARDO;9218;3259
2016/04/01;4;"CAN RULL";16740;6460
2016/04/01;4;CONCÒRDIA;12681;4848
2016/04/01;5;"CAN FEU";9661;3825
2016/04/01;5;GRÀCIA;9889;3921
2016/04/01;5;OEST;44;17
2016/04/01;6;"CREU DE BARBERÀ";19880;7844
2016/04/01;6;"SANT PAU";15;11
2016/04/01;6;SUD;9382;3523
2016/04/01;7;EST;24;11
2016/04/01;7;"LA SERRA";8644;3131
2016/07/01;1;CENTRE;33031;12968
2016/07/01;1;"SANT OLEGUER";20451;8094
2016/07/01;2;"CAN PUIGGENER";6210;2096
2016/07/01;2;"CREU ALTA";18002;7335
2016/07/01;2;TOGORES;37;13
2016/07/01;3;"CA N´ORIAC";19054;7112
2016/07/01;3;NORD;13640;5187
2016/07/01;3;"SANT JULIÀ";2086;818
2016/07/01;4;BERARDO;9277;3284
2016/07/01;4;"CAN RULL";16702;6469
2016/07/01;4;CONCÒRDIA;12607;4844
2016/07/01;5;"CAN FEU";9729;3853
2016/07/01;5;GRÀCIA;9904;3921
2016/07/01;5;OEST;43;17
2016/07/01;6;"CREU DE BARBERÀ";19933;7853
2016/07/01;6;"SANT PAU";14;10
2016/07/01;6;SUD;9391;3531
2016/07/01;7;EST;24;11
2016/07/01;7;"LA SERRA";8645;3149
2016/10/01;1;CENTRE;33132;12970
2016/10/01;1;"SANT OLEGUER";20550;8122
2016/10/01;2;"CAN PUIGGENER";6210;2105
2016/10/01;2;"CREU ALTA";18077;7374
2016/10/01;2;TOGORES;37;13
