Voluntari_IdPersona;Voluntari_Sexe;Voluntari_FranjaEdat;Voluntari_Municipi;Voluntari_DataAlta;Voluntari_Estudiant;Voluntari_Treballador;Voluntari_Aturat;Voluntari_Jubilat;Voluntari_Derivats;Voluntari_Voluntaris
1;D;3;SABADELL;2015/01/07;N;N;N;N;3;1
3;H;2;BARCELONA;2015/01/07;N;N;N;N;4;1
4;H;2;SABADELL;2015/01/07;N;N;N;N;5;3
5;H;3;SABADELL;2015/01/07;N;N;N;N;3;0
6;D;1;SABADELL;2015/01/07;N;N;N;N;2;0
7;H;3;SABADELL;2015/01/07;N;N;N;N;3;0
8;D;1;SABADELL;2015/01/07;N;N;N;N;4;1
9;D;3;;2015/01/07;N;N;N;N;2;1
10;D;2;SABADELL;2011/02/15;N;N;N;Y;5;1
11;D;2;Sabadell;2015/01/07;N;N;N;N;6;1
12;D;3;SABADELL;2015/01/07;N;N;N;N;0;1
13;H;2;SABADELL;2015/01/07;N;N;N;N;4;1
14;D;2;SABADELL;2015/01/07;N;N;N;N;3;1
15;D;3;SABADELL;2015/01/07;N;N;N;N;1;1
16;D;1;SABADELL;2015/01/07;N;N;N;N;3;0
17;D;3;"BARBERÀ DEL VALLÈS";2015/01/07;Y;N;N;N;5;1
18;D;3;SABADELL;2015/01/07;N;N;N;N;3;1
19;D;2;"BADIA DEL VALLÈS";2015/01/07;N;N;N;N;3;1
20;D;1;SABADELL;2015/01/07;Y;N;N;N;3;0
21;D;1;SABADELL;2015/01/07;N;Y;N;N;2;0
22;D;3;SABADELL;2015/01/07;N;N;N;N;3;1
24;H;2;;2015/01/07;N;N;N;Y;2;1
25;H;3;Sabadell;2015/01/07;N;N;N;N;4;0
26;D;3;SABADELL;2015/01/07;N;N;N;N;3;1
27;D;2;SABADELL;2015/01/07;Y;N;N;N;5;1
28;D;1;SABADELL;2015/01/07;Y;N;N;N;3;1
29;D;1;SABADELL;2015/01/07;Y;N;N;N;2;1
30;D;1;MANACOR;2015/01/07;N;N;N;N;2;0
31;H;3;;2015/01/07;N;N;N;Y;1;1
32;D;3;SABADELL;2011/04/04;N;N;N;N;7;1
33;D;3;;2015/01/07;N;N;N;N;4;1
34;D;3;Sabadell;2015/01/07;N;N;N;N;3;0
35;H;3;SABADELL;2015/01/07;N;N;N;N;3;1
36;D;2;SABADELL;2015/01/07;N;N;N;N;3;1
37;D;2;Sabadell;2015/01/07;N;N;N;N;3;0
38;D;3;SABADELL;2015/01/07;N;N;Y;N;11;1
39;H;3;SABADELL;2015/01/07;N;N;Y;N;3;1
40;H;2;SABADELL;2015/01/07;N;N;N;N;2;0
41;H;4;;2015/01/07;N;N;N;Y;2;1
42;D;1;SABADELL;2015/01/07;Y;N;N;N;5;1
43;H;1;;2015/01/07;Y;N;N;N;3;0
